,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-01,34.1931041456647,-2.340823749962606,42.762489153835205,34.1931041456647,34.1931041456647,-14.54497465498391,-14.54497465498391,-14.54497465498391,-3.0250369011271836,-3.0250369011271836,-3.0250369011271836,-11.519937753856725,-11.519937753856725,-11.519937753856725,0.0,0.0,0.0,19.648129490680788
1,2013-01-02,34.17707265380997,-2.290256452829606,43.17748305151685,34.17707265380997,34.17707265380997,-14.500631617525613,-14.500631617525613,-14.500631617525613,-2.940257764335509,-2.940257764335509,-2.940257764335509,-11.560373853190105,-11.560373853190105,-11.560373853190105,0.0,0.0,0.0,19.67644103628436
2,2013-01-03,34.16104116195525,-0.14724518652109872,44.43066108144277,34.16104116195525,34.16104116195525,-11.949192337199838,-11.949192337199838,-11.949192337199838,-0.340077570624566,-0.340077570624566,-0.340077570624566,-11.60911476657527,-11.60911476657527,-11.60911476657527,0.0,0.0,0.0,22.211848824755407
3,2013-01-04,34.14500967010053,2.2178999081894033,47.50523755824435,34.14500967010053,34.14500967010053,-9.522029632350007,-9.522029632350007,-9.522029632350007,2.142423972473678,2.142423972473678,2.142423972473678,-11.664453604823684,-11.664453604823684,-11.664453604823684,0.0,0.0,0.0,24.622980037750523
4,2013-01-05,34.1289781782458,0.8493694634180491,49.04328950850292,34.1289781782458,34.1289781782458,-6.858983620695412,-6.858983620695412,-6.858983620695412,4.865454696900832,4.865454696900832,4.865454696900832,-11.724438317596244,-11.724438317596244,-11.724438317596244,0.0,0.0,0.0,27.26999455755039
5,2013-01-06,34.112946686391076,5.877846457987002,52.502159594677174,34.112946686391076,34.112946686391076,-4.301979118576589,-4.301979118576589,-4.301979118576589,7.484968936551227,7.484968936551227,7.484968936551227,-11.786948055127816,-11.786948055127816,-11.786948055127816,0.0,0.0,0.0,29.810967567814487
6,2013-01-07,34.09691519453636,-8.876119513463427,36.430035496871156,34.09691519453636,34.09691519453636,-20.037245824945614,-20.037245824945614,-20.037245824945614,-8.187475369812082,-8.187475369812082,-8.187475369812082,-11.849770455133534,-11.849770455133534,-11.849770455133534,0.0,0.0,0.0,14.059669369590743
7,2013-01-08,34.08088370268163,-3.4735996056289955,41.83522462476254,34.08088370268163,34.08088370268163,-14.935714502793385,-14.935714502793385,-14.935714502793385,-3.025036901126771,-3.025036901126771,-3.025036901126771,-11.910677601666615,-11.910677601666615,-11.910677601666615,0.0,0.0,0.0,19.145169199888247
8,2013-01-09,34.0648522108269,-2.134760617414334,42.10321136769396,34.0648522108269,34.0648522108269,-14.907756280214397,-14.907756280214397,-14.907756280214397,-2.940257764348555,-2.940257764348555,-2.940257764348555,-11.967498515865842,-11.967498515865842,-11.967498515865842,0.0,0.0,0.0,19.157095930612503
9,2013-01-10,34.04882071897218,-1.20183918016248,43.46266267126967,34.04882071897218,34.04882071897218,-12.358263779678676,-12.358263779678676,-12.358263779678676,-0.3400775706540064,-0.3400775706540064,-0.3400775706540064,-12.01818620902467,-12.01818620902467,-12.01818620902467,0.0,0.0,0.0,21.690556939293504
10,2013-01-11,34.032789227117455,0.8313064046843559,47.081427135745734,34.032789227117455,34.032789227117455,-9.91845357763614,-9.91845357763614,-9.91845357763614,2.1424239724601315,2.1424239724601315,2.1424239724601315,-12.06087755009627,-12.06087755009627,-12.06087755009627,0.0,0.0,0.0,24.114335649481315
11,2013-01-12,34.01675773526273,4.820759492287328,49.92749326804578,34.01675773526273,34.01675773526273,-7.228489768358591,-7.228489768358591,-7.228489768358591,4.865454696892286,4.865454696892286,4.865454696892286,-12.093944465250877,-12.093944465250877,-12.093944465250877,0.0,0.0,0.0,26.788267966904137
12,2013-01-13,34.00072624340801,6.209858754291748,51.305554712977,34.00072624340801,34.00072624340801,-4.631066351251741,-4.631066351251741,-4.631066351251741,7.484968936564208,7.484968936564208,7.484968936564208,-12.116035287815949,-12.116035287815949,-12.116035287815949,0.0,0.0,0.0,29.36965989215627
13,2013-01-14,33.984694751553285,-9.042946242973464,36.09852079246747,33.984694751553285,33.984694751553285,-20.313580773403878,-20.313580773403878,-20.313580773403878,-8.18747536980464,-8.18747536980464,-8.18747536980464,-12.126105403599235,-12.126105403599235,-12.126105403599235,0.0,0.0,0.0,13.671113978149407
14,2013-01-15,33.96866325969856,-2.546057331803488,39.98501888835825,33.96866325969856,33.96866325969856,-15.14847358034273,-15.14847358034273,-15.14847358034273,-3.0250369011263594,-3.0250369011263594,-3.0250369011263594,-12.123436679216372,-12.123436679216372,-12.123436679216372,0.0,0.0,0.0,18.820189679355828
15,2013-01-16,33.95263176784384,-5.002959473166066,43.01171148527723,33.95263176784384,33.95263176784384,-15.047903273841781,-15.047903273841781,-15.047903273841781,-2.940257764361601,-2.940257764361601,-2.940257764361601,-12.10764550948018,-12.10764550948018,-12.10764550948018,0.0,0.0,0.0,18.904728494002057
16,2013-01-17,33.936600275989115,-1.3038799737831919,45.771218466264,33.936600275989115,33.936600275989115,-12.418757234641774,-12.418757234641774,-12.418757234641774,-0.34007757063639954,-0.34007757063639954,-0.34007757063639954,-12.078679664005376,-12.078679664005376,-12.078679664005376,0.0,0.0,0.0,21.51784304134734
17,2013-01-18,33.92056878413439,1.296053291968236,47.45707458090275,33.92056878413439,33.92056878413439,-9.894380470630143,-9.894380470630143,-9.894380470630143,2.1424239724582943,2.1424239724582943,2.1424239724582943,-12.036804443088435,-12.036804443088435,-12.036804443088435,0.0,0.0,0.0,24.026188313504246
